County,Total_Population,County_Rate,Diabetes,Cancer,Liver,Heart
Alameda,6687420,7.053243253751073,1097,6796,584,3315
Alpine,4460,10.762331838565023,0,7,2,3
Amador,150308,17.084918966389015,28,325,38,251
Butte,825448,11.731811089250927,145,1350,138,788
Calaveras,177144,14.157973174366617,33,357,40,197
Colusa,88300,8.154020385050963,20,86,10,64
Contra Costa,4599200,7.905722734388589,811,5559,422,2298
Del Norte,108772,13.238701136321849,48,209,31,72
El Dorado,768048,10.869112347144972,119,1134,133,701
Fresno,4105432,8.612004778059898,903,4062,558,3316
Glenn,118028,9.692615311620973,20,160,13,93
Humboldt,530824,12.73491778819345,115,946,117,512
Imperial,752360,7.533627518741029,237,642,87,451
Inyo,73716,12.100493786966194,11,123,22,67
Kern,3651900,8.911525507270188,1161,3498,568,2909
Kings,618980,7.3087983456654495,91,533,101,406
Lake,255084,16.402439980555425,46,525,125,350
Lassen,115488,10.078969243557774,14,148,14,115
Los Angeles,40686372,9.143503873975297,10019,43336,4929,34720
Madera,635176,8.3315490509717,123,676,91,433
Marin,1035824,8.719628044918828,88,1447,82,641
Mariposa,71112,15.243559455506807,14,132,18,107
Mendocino,349964,13.292795830428272,77,640,62,384
Merced,1139044,7.7608942235769645,281,1082,144,703
Modoc,37664,15.186915887850468,13,74,5,51
Mono,53788,4.387595746263107,2,33,7,17
Monterey,1765160,6.3790251308663235,247,1691,195,682
Napa,554844,10.756176510875129,82,835,68,507
Nevada,389756,12.941430022886113,47,743,82,389
Orange,12763328,8.161821117501642,1848,14233,1315,8647
Placer,1589876,10.141671425947685,326,2290,189,1226
Plumas,72984,17.538090540392414,33,150,17,120
Riverside,9797196,9.745645590840482,1798,11622,1273,9177
Sacramento,6248968,9.158632273360977,1513,7809,727,4259
San Benito,251156,6.975744159008744,66,255,28,89
San Bernardino,8736448,8.69735617953658,2410,9145,1304,6137
San Diego,13408580,7.939692346243973,2522,15102,1251,7740
San Francisco,3599564,7.525355848652781,462,3781,253,2276
San Joaquin,3104272,8.407768391429617,675,3456,467,1927
San Luis Obispo,1104604,9.657759703930097,164,1637,158,708
San Mateo,3100528,7.209094709030204,346,3321,224,1697
Santa Barbara,1805316,8.020756476982422,248,2024,201,1147
Santa Clara,7849004,6.373292713317511,1457,7078,508,3463
Santa Cruz,1080268,7.431489223044652,129,1265,133,480
Shasta,710768,14.395695923282984,190,1306,151,911
Sierra,12468,15.399422521655438,3,26,3,16
Siskiyou,175168,16.441359152356597,51,413,59,197
Solano,1760792,9.309447112435768,495,2505,194,904
Sonoma,1964536,9.944332911181062,362,2934,248,1340
Stanislaus,2223820,9.497171533667293,495,2671,355,1759
Sutter,404640,9.549228944246739,71,515,59,321
Tehama,261064,14.172769895504551,66,475,64,320
Trinity,53164,14.069671206079303,15,97,14,61
Tulare,1923152,8.265597311080974,332,1943,340,1359
Tuolumne,209412,15.089870685538555,73,429,45,243
Ventura,3365756,9.168816753204927,695,4014,452,2554
Yolo,886872,7.139699979252924,164,889,102,428
Yuba,316356,9.811731087761888,80,389,48,259
